t|uc_0|m|x_0|x_1|x_2|h_0|yc_0|yc_1|yc_2|yd|ud
0.0|0.0|on|80.0|19.0|19.0|0|80.0|19.0|19.0|no|no
0.5|0.0|on|80.3|19.0606|18.99405|0|80.3|19.0606|18.99405|no|no
1.0|0.0|on|80.597|19.121215510000003|18.988305302500002|0|80.597|19.121215510000003|18.988305302500002|no|no
1.5|0.0|on|80.89103|19.181844077663502|18.98276514308513|0|80.89103|19.181844077663502|18.98276514308513|no|no
2.0|0.0|on|81.1821197|19.24248328915104|18.977428753002933|0|81.1821197|19.24248328915104|18.977428753002933|no|no
2.5|0.0|on|81.470298503|19.303130768637782|18.972295359296023|0|81.470298503|19.303130768637782|18.972295359296023|no|no
3.0|0.0|on|81.75559551797|19.363784177836664|18.967364184932716|0|81.75559551797|19.363784177836664|18.967364184932716|no|no
3.5|0.0|on|82.03803956279029|19.42444121552695|18.96263444893574|0|82.03803956279029|19.42444121552695|18.96263444893574|no|no
4.0|0.0|on|82.31765916716239|19.48509961708823|18.958105366509027|0|82.31765916716239|19.48509961708823|18.958105366509027|no|no
4.5|0.0|on|82.59448257549077|19.545757154039734|18.953776149162582|0|82.59448257549077|19.545757154039734|18.953776149162582|no|no
5.0|0.0|on|82.86853774973586|19.606411633584937|18.949646004835508|0|82.86853774973586|19.606411633584937|18.949646004835508|no|no
5.5|0.0|on|83.13985237223851|19.667060898161406|18.945714138017163|0|83.13985237223851|19.667060898161406|18.945714138017163|no|no
6.0|0.0|on|83.40845384851612|19.727702824995784|18.94197974986648|0|83.40845384851612|19.727702824995784|18.94197974986648|no|no
6.5|0.0|on|83.67436931003095|19.78833532566392|18.938442038329494|0|83.67436931003095|19.78833532566392|18.938442038329494|no|no
7.0|0.0|on|83.93762561693065|19.848956345656017|18.935100198255086|0|83.93762561693065|19.848956345656017|18.935100198255086|no|no
7.5|0.0|on|84.19824936076134|19.909563863946826|18.931953421508947|0|84.19824936076134|19.909563863946826|18.931953421508947|no|no
8.0|0.0|on|84.45626686715373|19.970155892570748|18.929000897085828|0|84.45626686715373|19.970155892570748|18.929000897085828|no|no
8.5|0.0|on|84.7117041984822|20.03073047620185|18.926241811220052|0|84.7117041984822|20.03073047620185|18.926241811220052|no|no
9.0|0.0|on|84.96458715649737|20.091285691738705|18.92367534749434|0|84.96458715649737|20.091285691738705|18.92367534749434|no|no
9.5|0.0|on|85.2149412849324|20.151819647894033|18.921300686946953|0|85.2149412849324|20.151819647894033|18.921300686946953|no|no
10.0|0.0|on|85.46279187208307|20.212330484789074|18.919117008177196|0|85.46279187208307|20.212330484789074|18.919117008177196|no|no
10.5|0.0|on|85.70816395336225|20.27281637355262|18.917123487449263|0|85.70816395336225|20.27281637355262|18.917123487449263|no|no
11.0|0.0|on|85.95108231382862|20.333275515924697|18.915319298794497|0|85.95108231382862|20.333275515924697|18.915319298794497|no|no
11.5|0.0|on|86.19157149069034|20.39370614386484|18.913703614112034|0|86.19157149069034|20.39370614386484|18.913703614112034|no|no
12.0|0.0|on|86.42965577578343|20.45410651916486|18.912275603267886|0|86.42965577578343|20.45410651916486|18.912275603267886|no|no
12.5|0.0|on|86.6653592180256|20.514474933066122|18.911034434192473|0|86.6653592180256|20.514474933066122|18.911034434192473|no|no
13.0|0.0|on|86.89870562584534|20.574809705881233|18.90997927297661|0|86.89870562584534|20.574809705881233|18.90997927297661|no|no
13.5|0.0|on|87.12971856958688|20.63510918662013|18.909109283965996|0|87.12971856958688|20.63510918662013|18.909109283965996|no|no
14.0|0.0|on|87.35842138389101|20.69537175262049|18.90842362985419|0|87.35842138389101|20.69537175262049|18.90842362985419|no|no
14.5|0.0|on|87.5848371700521|20.755595809182413|18.907921471774127|0|87.5848371700521|20.755595809182413|18.907921471774127|no|no
15.0|0.0|on|87.80898879835158|20.815779789207387|18.907601969388168|0|87.80898879835158|20.815779789207387|18.907601969388168|no|no
15.5|0.0|on|88.03089891036807|20.87592215284139|18.907464280976708|0|88.03089891036807|20.87592215284139|18.907464280976708|no|no
16.0|0.0|on|88.25058992126438|20.936021387122185|18.907507563525375|0|88.25058992126438|20.936021387122185|18.907507563525375|no|no
16.5|0.0|on|88.46808402205174|20.996076005630687|18.907730972810818|0|88.46808402205174|20.996076005630687|18.907730972810818|no|no
17.0|0.0|on|88.68340318183122|21.056084548146398|18.908133663485106|0|88.68340318183122|21.056084548146398|18.908133663485106|no|no
17.5|0.0|on|88.89656915001291|21.11604558030684|18.90871478915878|0|88.89656915001291|21.11604558030684|18.90871478915878|no|no
18.0|0.0|on|89.10760345851278|21.175957693270977|18.909473502482523|0|89.10760345851278|21.175957693270977|18.909473502482523|no|no
18.5|0.0|on|89.31652742392765|21.235819503386544|18.91040895522753|0|89.31652742392765|21.235819503386544|18.91040895522753|no|no
19.0|0.0|on|89.52336214968838|21.295629651861255|18.911520298364543|0|89.52336214968838|21.295629651861255|18.911520298364543|no|no
19.5|0.0|on|89.72812852819149|21.355386804437845|18.912806682141586|0|89.72812852819149|21.355386804437845|18.912806682141586|no|no
20.0|0.0|on|89.93084724290958|21.415089651072936|18.91426725616044|0|89.93084724290958|21.415089651072936|18.91426725616044|no|no
20.5|0.0|on|90.13153877048049|21.474736905619608|18.915901169451825|0|90.13153877048049|21.474736905619608|18.915901169451825|no|no
21.0|0.0|on|90.33022338277569|21.534327305513717|18.91770757054935|0|90.33022338277569|21.534327305513717|18.91770757054935|no|no
21.5|0.0|on|90.52692114894793|21.59385961146388|18.919685607562222|0|90.52692114894793|21.59385961146388|18.919685607562222|no|no
22.0|0.0|on|90.72165193745846|21.653332607145074|18.921834428246743|0|90.72165193745846|21.653332607145074|18.921834428246743|no|no
22.5|0.0|on|90.91443541808388|21.712745098895834|18.924153180076605|0|90.91443541808388|21.712745098895834|18.924153180076605|no|no
23.0|0.0|on|91.10529106390304|21.772095915419005|18.92664101031199|0|91.10529106390304|21.772095915419005|18.92664101031199|no|no
23.5|0.0|on|91.294238153264|21.831383907486|18.929297066067516|0|91.294238153264|21.831383907486|18.929297066067516|no|no
24.0|0.0|on|91.48129577173137|21.89060794764453|18.932120494379006|0|91.48129577173137|21.89060794764453|18.932120494379006|no|no
24.5|0.0|on|91.66648281401406|21.949766929929762|18.935110442269142|0|91.66648281401406|21.949766929929762|18.935110442269142|no|no
25.0|0.0|on|91.84981798587393|22.008859769578894|18.93826605681197|0|91.84981798587393|22.008859769578894|18.93826605681197|no|no
25.5|0.0|on|92.03131980601519|22.067885402749056|18.9415864851963|0|92.03131980601519|22.067885402749056|18.9415864851963|no|no
26.0|0.0|on|92.21100660795504|22.126842786238566|18.945070874788023|0|92.21100660795504|22.126842786238566|18.945070874788023|no|no
26.5|0.0|on|92.3888965418755|22.185730897211435|18.948718373191326|0|92.3888965418755|22.185730897211435|18.948718373191326|no|no
27.0|0.0|on|92.56500757645674|22.244548732925153|18.952528128308856|0|92.56500757645674|22.244548732925153|18.952528128308856|no|no
27.5|0.0|on|92.73935750069217|22.303295310461667|18.95649928840081|0|92.73935750069217|22.303295310461667|18.95649928840081|no|no
28.0|0.0|on|92.91196392568524|22.36196966646153|18.96063100214301|0|92.91196392568524|22.36196966646153|18.96063100214301|no|no
28.5|0.0|on|93.08284428642838|22.420570856861215|18.96492241868393|0|93.08284428642838|22.420570856861215|18.96492241868393|no|no
29.0|0.0|on|93.2520158435641|22.479097956633506|18.969372687700712|0|93.2520158435641|22.479097956633506|18.969372687700712|no|no
29.5|0.0|on|93.41949568512845|22.537550059530986|18.973980959454195|0|93.41949568512845|22.537550059530986|18.973980959454195|no|no
30.0|0.0|on|93.58530072827716|22.59592627783254|18.978746384842943|0|93.58530072827716|22.59592627783254|18.978746384842943|no|no
30.5|0.0|on|93.7494477209944|22.654225742092883|18.98366811545631|0|93.7494477209944|22.654225742092883|18.98366811545631|no|no
31.0|0.0|on|93.91195324378445|22.71244760089504|18.988745303626537|0|93.91195324378445|22.71244760089504|18.988745303626537|no|no
31.5|0.0|on|94.0728337113466|22.770591020605764|18.993977102479896|0|94.0728337113466|22.770591020605764|18.993977102479896|no|no
32.0|0.0|on|94.23210537423314|22.828655185133886|18.99936266598692|0|94.23210537423314|22.828655185133886|18.99936266598692|no|no
32.5|0.0|on|94.38978432049082|22.88663929569149|19.004901149011673|0|94.38978432049082|22.88663929569149|19.004901149011673|no|no
33.0|0.0|on|94.5458864772859|22.944542570557974|19.010591707360152|0|94.5458864772859|22.944542570557974|19.010591707360152|no|no
33.5|0.0|on|94.70042761251304|23.002364244846884|19.016433497827755|0|94.70042761251304|23.002364244846884|19.016433497827755|no|no
34.0|0.0|on|94.8534233363879|23.060103570275555|19.022425678245877|0|94.8534233363879|23.060103570275555|19.022425678245877|no|no
34.5|0.0|on|95.00488910302403|23.117759814937468|19.028567407527632|0|95.00488910302403|23.117759814937468|19.028567407527632|no|no
35.0|0.0|on|95.15484021199379|23.17533226307735|19.03485784571271|0|95.15484021199379|23.17533226307735|19.03485784571271|no|no
35.5|0.0|on|95.30329180987385|23.232820214868944|19.041296154011377|0|95.30329180987385|23.232820214868944|19.041296154011377|no|no
36.0|0.0|on|95.45025889177512|23.290222986195428|19.04788149484764|0|95.45025889177512|23.290222986195428|19.04788149484764|no|no
36.5|0.0|on|95.59575630285737|23.347539908432484|19.054613031901578|0|95.59575630285737|23.347539908432484|19.054613031901578|no|no
37.0|0.0|on|95.7397987398288|23.404770328233944|19.061489930150863|0|95.7397987398288|23.404770328233944|19.061489930150863|no|no
37.5|0.0|on|95.88240075243051|23.461913607319996|19.06851135591147|0|95.88240075243051|23.461913607319996|19.06851135591147|no|no
38.0|0.0|on|96.02357674490621|23.518969122267954|19.07567647687758|0|96.02357674490621|23.518969122267954|19.07567647687758|no|no
38.5|0.0|on|96.16334097745714|23.575936264305515|19.082984462160717|0|96.16334097745714|23.575936264305515|19.082984462160717|no|no
39.0|0.0|on|96.30170756768257|23.63281443910651|19.0904344823281|0|96.30170756768257|23.63281443910651|19.0904344823281|no|no
39.5|0.0|on|96.43869049200575|23.689603066589108|19.098025709440222|0|96.43869049200575|23.689603066589108|19.098025709440222|no|no
40.0|0.0|on|96.5743035870857|23.74630158071644|19.1057573170877|0|96.5743035870857|23.74630158071644|19.1057573170877|no|no
40.5|0.0|on|96.70856055121483|23.80290942929964|19.113628480427355|0|96.70856055121483|23.80290942929964|19.113628480427355|no|no
41.0|0.0|on|96.84147494570269|23.859426073803217|19.121638376217565|0|96.84147494570269|23.859426073803217|19.121638376217565|no|no
41.5|0.0|on|96.97306019624565|23.915850989152837|19.129786182852914|0|96.97306019624565|23.915850989152837|19.129786182852914|no|no
42.0|0.0|on|97.1033295942832|23.97218366354537|19.138071080398102|0|97.1033295942832|23.97218366354537|19.138071080398102|no|no
42.5|0.0|on|97.23229629834036|24.02842359826125|19.146492250621165|0|97.23229629834036|24.02842359826125|19.146492250621165|no|no
43.0|0.0|on|97.35997333535695|24.084570307479105|19.155048877025994|0|97.35997333535695|24.084570307479105|19.155048877025994|no|no
43.5|0.0|on|97.48637360200338|24.140623318092633|19.16374014488418|0|97.48637360200338|24.140623318092633|19.16374014488418|no|no
44.0|0.0|on|97.61150986598335|24.19658216952968|19.172565241266167|0|97.61150986598335|24.19658216952968|19.172565241266167|no|no
44.5|0.0|on|97.73539476732351|24.25244641357353|19.181523355071754|0|97.73539476732351|24.25244641357353|19.181523355071754|no|no
45.0|0.0|on|97.85804081965028|24.308215614186345|19.19061367705994|0|97.85804081965028|24.308215614186345|19.19061367705994|no|no
45.5|0.0|on|97.97946041145379|24.363889347334755|19.19983539987811|0|97.97946041145379|24.363889347334755|19.19983539987811|no|no
46.0|0.0|on|98.09966580733925|24.41946720081757|19.209187718090597|0|98.09966580733925|24.41946720081757|19.209187718090597|no|no
46.5|0.0|on|98.21866914926586|24.474948774095584|19.218669828206593|0|98.21866914926586|24.474948774095584|19.218669828206593|no|no
47.0|0.0|on|98.3364824577732|24.530333678123448|19.228280928707463|0|98.3364824577732|24.530333678123448|19.228280928707463|no|no
47.5|0.0|on|98.45311763319548|24.5856215351836|19.238020220073437|0|98.45311763319548|24.5856215351836|19.238020220073437|no|no
48.0|0.0|on|98.56858645686351|24.640811978722205|19.247886904809697|0|98.56858645686351|24.640811978722205|19.247886904809697|no|no
48.5|0.0|on|98.68290059229489|24.69590465318712|19.257880187471866|0|98.68290059229489|24.69590465318712|19.257880187471866|no|no
49.0|0.0|on|98.79607158637194|24.750899213867807|19.26799927469091|0|98.79607158637194|24.750899213867807|19.26799927469091|no|no
49.5|0.0|on|98.90811087050822|24.805795326737233|19.278243375197487|0|98.90811087050822|24.805795326737233|19.278243375197487|no|no
50.0|0.0|on|99.01902976180314|24.86059266829569|19.288611699845667|0|99.01902976180314|24.86059266829569|19.288611699845667|no|no
50.5|0.0|on|99.1288394641851|24.91529092541653|19.299103461636165|0|99.1288394641851|24.91529092541653|19.299103461636165|no|no
51.0|0.0|on|99.23755106954326|24.969889795193794|19.30971787573895|0|99.23755106954326|24.969889795193794|19.30971787573895|no|no
51.5|0.0|off|99.34517555884783|25.024388984791702|19.320454159515364|0|99.34517555884783|25.024388984791702|19.320454159515364|no|no
52.0|0.0|off|97.11555196162614|25.004467424721955|19.331311532539655|0|97.11555196162614|25.004467424721955|19.331311532539655|no|no
52.5|0.0|off|94.95221942551902|24.98464617007552|19.34206625426029|0|94.95221942551902|24.98464617007552|19.34206625426029|no|no
53.0|0.0|off|92.85319222785571|24.964924571860045|19.352719031066187|0|92.85319222785571|24.964924571860045|19.352719031066187|no|no
53.5|0.0|off|90.81654419817585|24.94530198540892|19.363270564609056|0|90.81654419817585|24.94530198540892|19.363270564609056|no|no
54.0|0.0|off|88.84040693179284|24.925777770352358|19.37372155183508|0|88.84040693179284|24.925777770352358|19.37372155183508|no|no
54.5|0.0|off|86.92296805694963|24.906351290588667|19.38407268501639|0|86.92296805694963|24.906351290588667|19.38407268501639|no|no
55.0|0.0|off|85.0624695539588|24.887021914255715|19.39432465178234|0|85.0624695539588|24.887021914255715|19.39432465178234|no|no
55.5|0.0|off|83.25720612476772|24.867789013702595|19.40447813515057|0|83.25720612476772|24.867789013702595|19.40447813515057|no|no
56.0|0.0|off|81.50552361143576|24.848651965461457|19.41453381355783|0|81.50552361143576|24.848651965461457|19.41453381355783|no|no
56.5|0.0|off|79.80581746205654|24.829610150219562|19.424492360890664|0|79.80581746205654|24.829610150219562|19.424492360890664|no|no
57.0|0.0|off|78.15653124270143|24.81066295279149|19.434354446515805|0|78.15653124270143|24.81066295279149|19.434354446515805|no|no
57.5|0.0|off|76.55615519400413|24.791809762091546|19.44412073531044|0|76.55615519400413|24.791809762091546|19.44412073531044|no|no
58.0|0.0|off|75.00322483104675|24.773049971106367|19.45379188769224|0|75.00322483104675|24.773049971106367|19.45379188769224|no|no
58.5|0.0|off|73.49631958524854|24.75438297686768|19.463368559649176|0|73.49631958524854|24.75438297686768|19.463368559649176|no|no
59.0|0.0|off|72.03406148699712|24.73580818042528|19.472851402769166|0|72.03406148699712|24.73580818042528|19.472851402769166|no|no
59.5|0.0|off|70.61511388779996|24.71732498682014|19.482241064269502|0|70.61511388779996|24.71732498682014|19.482241064269502|no|no
60.0|0.0|off|69.23818022077057|24.698932805057762|19.491538187026098|0|69.23818022077057|24.698932805057762|19.491538187026098|no|no
60.5|0.0|off|67.9020027982992|24.680631048081644|19.500743409602517|0|67.9020027982992|24.680631048081644|19.500743409602517|no|no
61.0|0.0|off|66.60536164579267|24.662419132746972|19.509857366278833|0|66.60536164579267|24.662419132746972|19.509857366278833|no|no
61.5|0.0|off|65.3470733704013|24.64429647979447|19.518880687080273|0|65.3470733704013|24.64429647979447|19.518880687080273|no|no
62.0|0.0|off|64.1259900636831|24.626262513824408|19.52781399780569|0|64.1259900636831|24.626262513824408|19.52781399780569|no|no
62.5|0.0|off|62.940998237187344|24.60831666327082|19.53665792005583|0|62.940998237187344|24.60831666327082|19.53665792005583|no|no
63.0|0.0|off|61.79101778996985|24.590458360375866|19.54541307126142|0|61.79101778996985|24.590458360375866|19.54541307126142|no|no
63.5|0.0|off|60.67500100708203|24.57268704116437|19.554080064711066|0|60.67500100708203|24.57268704116437|19.554080064711066|no|no
64.0|0.0|off|59.5919315881045|24.555002145418545|19.56265950957895|0|59.5919315881045|24.555002145418545|19.56265950957895|no|no
64.5|0.0|off|58.54082370482392|24.537403116652857|19.571152010952368|0|58.54082370482392|24.537403116652857|19.571152010952368|no|no
65.0|0.0|off|57.52072108717879|24.519889402089095|19.579558169859066|0|57.52072108717879|24.519889402089095|19.579558169859066|no|no
65.5|0.0|off|56.530696136626105|24.50246045263157|19.58787858329439|0|56.530696136626105|24.50246045263157|19.58787858329439|no|no
66.0|0.0|off|55.56984906610627|24.485115722842508|19.596113844248272|0|55.56984906610627|24.485115722842508|19.596113844248272|no|no
66.5|0.0|off|54.63730706580836|24.46785467091759|19.604264541732018|0|54.63730706580836|24.46785467091759|19.604264541732018|no|no
67.0|0.0|off|53.732223493961634|24.450676758661665|19.61233126080493|0|53.732223493961634|24.450676758661665|19.61233126080493|no|no
67.5|0.0|off|52.853777091902636|24.43358145146463|19.620314582600734|0|52.853777091902636|24.43358145146463|19.620314582600734|no|no
68.0|0.0|off|52.00117122268949|24.41656821827745|19.628215084353855|0|52.00117122268949|24.41656821827745|19.628215084353855|no|no
68.5|0.0|off|51.17363313255713|24.39963653158837|19.636033339425488|0|51.17363313255713|24.39963653158837|19.636033339425488|no|no
69.0|0.0|off|50.370413234528066|24.382785867399246|19.64376991732952|0|50.370413234528066|24.382785867399246|19.64376991732952|no|no
69.5|0.0|off|49.5907844135142|24.366015705202077|19.65142538375827|0|49.5907844135142|24.366015705202077|19.65142538375827|no|no
70.0|0.0|off|48.83404135226483|24.349325527955664|19.65900030060803|0|48.83404135226483|24.349325527955664|19.65900030060803|no|no
70.5|0.0|off|48.09949987753556|24.33271482206244|19.666495226004496|0|48.09949987753556|24.33271482206244|19.666495226004496|no|no
71.0|0.0|off|47.38649632587136|24.31618307734544|19.673910714327967|0|47.38649632587136|24.31618307734544|19.673910714327967|no|no
71.5|0.0|off|46.69438692841558|24.29972978702545|19.68124731623841|0|46.69438692841558|24.29972978702545|19.68124731623841|no|no
72.0|0.0|off|46.022547214173876|24.283354447698276|19.688505578700344|0|46.022547214173876|24.283354447698276|19.688505578700344|no|no
72.5|0.0|off|45.370371431179606|24.267056559312202|19.695686045007573|0|45.370371431179606|24.267056559312202|19.695686045007573|no|no
73.0|0.0|off|44.73727198502358|24.250835625145562|19.70278925480773|0|44.73727198502358|24.250835625145562|19.70278925480773|no|no
73.5|0.0|off|44.12267889422724|24.234691151784492|19.709815744126676|0|44.12267889422724|24.234691151784492|19.709815744126676|no|no
74.0|0.0|off|43.52603926195396|24.218622649100805|19.716766045392728|0|43.52603926195396|24.218622649100805|19.716766045392728|no|no
74.5|0.0|off|42.946816763568364|24.20262963023004|19.72364068746073|0|42.946816763568364|24.20262963023004|19.72364068746073|no|no
75.0|0.0|off|42.38449114956821|24.18671161154964|19.73044019563595|0|42.38449114956821|24.18671161154964|19.73044019563595|no|no
75.5|0.0|off|41.83855776342766|24.170868112657278|19.737165091697836|0|41.83855776342766|24.170868112657278|19.737165091697836|no|no
76.0|0.0|off|41.30852707390455|24.155098656349338|19.7438158939236|0|41.30852707390455|24.155098656349338|19.7438158939236|no|no
76.5|0.0|off|40.79392422137789|24.13940276859952|19.75039311711165|0|40.79392422137789|24.13940276859952|19.75039311711165|no|no
77.0|0.0|off|40.29428857779454|24.123779978537616|19.756897272604856|0|40.29428857779454|24.123779978537616|19.756897272604856|no|no
77.5|0.0|off|39.80917331981683|24.108229818428402|19.76332886831368|0|39.80917331981683|24.108229818428402|19.76332886831368|no|no
78.0|0.0|off|39.33814501477518|24.092751823650687|19.769688408739125|0|39.33814501477518|24.092751823650687|19.769688408739125|no|no
78.5|0.0|off|38.88078321904145|24.077345532676492|19.775976394995556|0|38.88078321904145|24.077345532676492|19.775976394995556|no|no
79.0|0.0|off|38.4366800884505|24.06201048705038|19.782193324833354|0|38.4366800884505|24.06201048705038|19.782193324833354|no|no
79.5|0.0|off|38.0054400004085|24.046746231368907|19.788339692661413|0|38.0054400004085|24.046746231368907|19.788339692661413|no|no
80.0|0.0|off|37.58667918733731|24.031552313260235|19.794415989569508|0|37.58667918733731|24.031552313260235|19.794415989569508|no|no
80.5|0.0|off|37.180025381115|24.016428283363858|19.80042270335049|0|37.180025381115|24.016428283363858|19.80042270335049|no|no
81.0|0.0|off|36.78511746818247|24.001373695310473|19.806360318522344|0|36.78511746818247|24.001373695310473|19.806360318522344|no|no
81.5|0.0|off|36.40160515499631|23.986388105701984|19.812229316350113|0|36.40160515499631|23.986388105701984|19.812229316350113|no|no
82.0|0.0|off|36.02914864351748|23.971471074091646|19.818030174867637|0|36.02914864351748|23.971471074091646|19.818030174867637|no|no
82.5|0.0|off|35.667418316434706|23.956622162964337|19.823763368899186|0|35.667418316434706|23.956622162964337|19.823763368899186|no|no
83.0|0.0|off|35.31609443183059|23.941840937716954|19.829429370080927|0|35.31609443183059|23.941840937716954|19.829429370080927|no|no
83.5|0.0|off|34.97486682700718|23.92712696663896|19.835028646882257|0|34.97486682700718|23.92712696663896|19.835028646882257|no|no
84.0|0.0|off|34.643434631196136|23.912479820893033|19.84056166462699|0|34.643434631196136|23.912479820893033|19.84056166462699|no|no
84.5|0.0|off|34.32150598688704|23.89789907449588|19.846028885514393|0|34.32150598688704|23.89789907449588|19.846028885514393|no|no
85.0|0.0|off|34.008797779515305|23.883384304299135|19.8514307686401|0|34.008797779515305|23.883384304299135|19.8514307686401|no|no
85.5|0.0|off|33.70503537525882|23.86893508997044|19.85676777001687|0|33.70503537525882|23.86893508997044|19.85676777001687|no|no
86.0|0.0|off|33.40995236670017|23.85455101397459|19.862040342595215|0|33.40995236670017|23.85455101397459|19.862040342595215|no|no
86.5|0.0|off|33.1232903261184|23.84023166155486|19.867248936283886|0|33.1232903261184|23.84023166155486|19.867248936283886|no|no
87.0|0.0|off|32.844798566181495|23.825976620714425|19.872393997970228|0|32.844798566181495|23.825976620714425|19.872393997970228|no|no
87.5|0.0|off|32.57423390781749|23.811785482197905|19.877475971540388|0|32.57423390781749|23.811785482197905|19.877475971540388|no|no
88.0|0.0|off|32.3113604550489|23.797657839473054|19.882495297899396|0|32.3113604550489|23.797657839473054|19.882495297899396|no|no
88.5|0.0|off|32.05594937658162|23.783593288712545|19.887452414991113|0|32.05594937658162|23.783593288712545|19.887452414991113|no|no
89.0|0.0|off|31.80777869394555|23.769591428775897|19.892347757818037|0|31.80777869394555|23.769591428775897|19.892347757818037|no|no
89.5|0.0|off|31.56663307599046|23.755651861191513|19.897181758460984|0|31.56663307599046|23.755651861191513|19.897181758460984|no|no
90.0|0.0|off|31.332303639546492|23.741774190138845|19.901954846098636|0|31.332303639546492|23.741774190138845|19.901954846098636|no|no
90.5|0.0|off|31.104587756064262|23.72795802243067|19.906667447026962|0|31.104587756064262|23.72795802243067|19.906667447026962|no|no
91.0|0.0|off|30.883288864055256|23.714202967495485|19.911319984678496|0|30.883288864055256|23.714202967495485|19.911319984678496|no|no
91.5|0.0|off|30.66821628715846|23.700508637360034|19.915912879641503|0|30.66821628715846|23.700508637360034|19.915912879641503|no|no
92.0|0.0|off|30.45918505766451|23.686874646631935|19.920446549679|0|30.45918505766451|23.686874646631935|19.920446549679|no|no
92.5|0.0|off|30.25601574533353|23.673300612482425|19.924921409747665|0|30.25601574533353|23.673300612482425|19.924921409747665|no|no
93.0|0.0|off|30.058534291348|23.659786154629227|19.92933787201661|0|30.058534291348|23.659786154629227|19.92933787201661|no|no
93.5|0.0|off|29.866571847246437|23.646330895319537|19.933696345886034|0|29.866571847246437|23.646330895319537|19.933696345886034|no|no
94.0|0.0|off|29.67996461868863|23.63293445931311|19.937997238005742|0|29.67996461868863|23.63293445931311|19.937997238005742|no|no
94.5|0.0|off|29.498553713907363|23.61959647386546|19.94224095229356|0|29.498553713907363|23.61959647386546|19.94224095229356|no|no
95.0|0.0|off|29.322184996706106|23.606316568711197|19.946427889953597|0|29.322184996706106|23.606316568711197|19.946427889953597|no|no
95.5|0.0|off|29.15070894386626|23.59309437604744|19.950558449494412|0|29.15070894386626|23.59309437604744|19.950558449494412|no|no
96.0|0.0|off|28.983980506831696|23.57992953051736|19.95463302674705|0|28.983980506831696|23.57992953051736|19.95463302674705|no|no
96.5|0.0|off|28.821858977542266|23.566821669193843|19.95865201488295|0|28.821858977542266|23.566821669193843|19.95865201488295|no|no
97.0|0.0|off|28.664207858291814|23.553770431563233|19.962615804431746|0|28.664207858291814|23.553770431563233|19.962615804431746|no|no
97.5|0.0|off|28.510894735489956|23.540775459509213|19.96652478329893|0|28.510894735489956|23.540775459509213|19.96652478329893|no|no
98.0|0.0|off|28.361791157210533|23.527836397296777|19.970379336783427|0|28.361791157210533|23.527836397296777|19.970379336783427|no|no
98.5|0.0|off|28.21677251441312|23.51495289155632|19.974179847595025|0|28.21677251441312|23.51495289155632|19.974179847595025|no|no
99.0|0.0|off|28.075717925727414|23.502124591267812|19.977926695871695|0|28.075717925727414|23.502124591267812|19.977926695871695|no|no
99.5|0.0|off|27.938510125693625|23.489351147745115|19.981620259196806|0|27.938510125693625|23.489351147745115|19.981620259196806|no|no
100.0|0.0|off|27.80503535635517|23.476632214620373|19.985260912616212|0|27.80503535635517|23.476632214620373|19.985260912616212|no|no
100.5|0.0|off|27.675183262103126|23.463967447828512|19.98884902865524|0|27.675183262103126|23.463967447828512|19.98884902865524|no|no
101.0|0.0|off|27.548846787674886|23.45135650559186|19.992384977335536|0|27.548846787674886|23.45135650559186|19.992384977335536|no|no
101.5|0.0|off|27.425922079212395|23.438799048404857|19.995869126191838|0|27.425922079212395|23.438799048404857|19.995869126191838|no|no
102.0|0.0|off|27.30630838828817|23.426294739018857|19.999301840288595|0|27.30630838828817|23.426294739018857|19.999301840288595|no|no
102.5|0.0|off|27.18990797881009|23.41384324242706|20.002683482236513|0|27.18990797881009|23.41384324242706|20.002683482236513|no|no
103.0|0.0|off|27.0766260367186|23.401444225849517|20.00601441220896|0|27.0766260367186|23.401444225849517|20.00601441220896|no|no
103.5|0.0|off|26.96637058239253|23.389097358718256|20.00929498795828|0|26.96637058239253|23.389097358718256|20.00929498795828|no|no
104.0|0.0|off|26.8590523856823|23.376802312662488|20.012525564832|0|26.8590523856823|23.376802312662488|20.012525564832|no|no
104.5|0.0|off|26.754584883491706|23.36455876149393|20.0157064957889|0|26.754584883491706|23.36455876149393|20.0157064957889|no|no
105.0|0.0|off|26.652884099831773|23.35236638119222|20.018838131415016|0|26.652884099831773|23.35236638119222|20.018838131415016|no|no
105.5|0.0|off|26.553868568272588|23.34022484989041|20.021920819939503|0|26.553868568272588|23.34022484989041|20.021920819939503|no|no
106.0|0.0|off|26.457459256721123|23.328133847860602|20.024954907250414|0|26.457459256721123|23.328133847860602|20.024954907250414|no|no
106.5|0.0|off|26.36357949445531|23.31609305749963|20.027940736910356|0|26.36357949445531|23.31609305749963|20.027940736910356|no|no
107.0|0.0|off|26.27215490134664|23.304102163314862|20.03087865017206|0|26.27215490134664|23.304102163314862|20.03087865017206|no|no
